,,番号,商号等,法人番号,所在地,有効期限,変更公告日,,
,法人,1,MS&ADインシュアランスグループホールディングス株式会社,4010001116542 ,東京都中央区新川二丁目27番２号,2018.12.31,,,
,,2,株式会社MAプラットフォーム,8010401094269 ,東京都港区虎ノ門２-３-17,2018.12.31,,,
,,3,株式会社ブロードバンドタワー,6010401059802 ,東京都千代田区内幸町一丁目３番２号　内幸町東急ビル,2018.12.31,,,
,,4,株式会社マネースクウェアHD,4010001097667 ,東京都港区赤坂九丁目７番１号,2018.12.31,,,
,,5,公益財団法人教科書研究センター,7010605002383 ,東京都江東区千石一丁目９番28号,2018.12.31,,,
,,6,清水地所株式会社,1010001046156 ,東京都中央区京橋二丁目17番４号,2018.12.31,,,
,,7,ダイビル株式会社,3120001063064 ,大阪府大阪市北区中之島三丁目６番32号,2018.12.31,,,
,,8,ユナイテッド株式会社,6010401094782 ,東京都渋谷区渋谷一丁目２番５号,2018.12.31,,,
,,9,アイフル株式会社,3130001000082 ,京都府京都市下京区烏丸通五条上る高砂町381－１,2019.1.31,,,
,,10,株式会社カレイド・ホールディングス,7010401055206 ,東京都港区南麻布一丁目１番４号,2019.1.31,,,
,,11,株式会社天満屋ストア,5260001004556 ,岡山県岡山市北区岡町13番16号,2019.1.31,,,
,,12,株式会社ニコン,5010001008763 ,東京都港区港南二丁目15番３号,2019.1.31,,,
,,13,株式会社西日本新聞社,8290001009392 ,福岡県福岡市中央区天神一丁目４番１号,2019.1.31,,,
,,14,株式会社メディネット,1020001039274 ,神奈川県横浜市港北区新横浜二丁目３番12号,2019.1.31,,,
,,15,サン・パシフィック・キャピタル株式会社,8010001016929 ,東京都港区六本木三丁目１番１号,2019.1.31,,,
,,16,住友不動産販売株式会社,4011101042249 ,東京都新宿区西新宿二丁目４番１号,2019.1.31,,,
,,17,寺田倉庫株式会社,8010701006378 ,東京都品川区東品川二丁目６番10号,2019.1.31,,,
,,18,北越急行株式会社,3110001026526 ,新潟県南魚沼市六日町2902番地１,2019.1.31,,,
,,19,JAG国際エナジー株式会社,4010001102071 ,東京都千代田区丸の内三丁目１番１号,2019.2.28,,,
,,20,SBI ファイナンシャルサービシーズ株式会社,2010401100313 ,東京都港区六本木一丁目６番１号,2019.2.28,,,
,,21,アドミラルキャピタル株式会社,5010401062170 ,東京都千代田区内幸町一丁目３番３号,2019.2.28,,,
,,22,阿波製紙株式会社,8480001000084 ,徳島県徳島市南矢三町三丁目10番18号,2019.2.28,,,
,,23,一般財団法人兵庫県学校厚生会,4140005001728 ,兵庫県神戸市中央区北長狭通四丁目７－34,2019.2.28,,,
,,24,潮冷熱株式会社,9500001011227 ,愛媛県今治市クリエイティブヒルズ５番地３,2019.2.28,,,
,,25,株式会社ACCESS,5010001009662 ,東京都千代田区神田練塀町３,2019.2.28,,,
,,26,株式会社ＩＨＩ,4010601031604 ,東京都江東区豊洲三丁目１番１,2019.2.28,,,
,,27,株式会社ウィルグループ,9011001061435 ,東京都中野区本町一丁目32番２号,2019.2.28,,,
,,28,株式会社九六,3011001109347 ,東京都渋谷区恵比寿四丁目20番３号　恵比寿ガーデンプレイス27F,2019.2.28,,,
